EXPEDIENTE;TIPO;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
47845;ANÓNIMA;GUAYAQUIL;GRANDE;SOCIETARIO;3044;1272006599;151648637;1319257680;140512995
2913;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;9;665036500,3;248266181;1147434507;25446073,8
2308;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;876;604641804;391326265,5;434996659,5;102527118
2448;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;1733;579224301,1;193840758,3;547289864,1;114473699
56871;ANÓNIMA;GUAYAQUIL;GRANDE;SOCIETARIO;12;515194732;66713391,1;42254413,1;566251,62
9134;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;6681;402686882,7;205112939,1;196444826,2;781856,75
3502;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;8154;394973903;76656052,14;687780605,9;35843565,5
2234;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;2004;368380001;229816778;135106266;-20392636
3215;ANÓNIMA;GUAYAQUIL;GRANDE;SOCIETARIO;5521;346448682;121733096;397421379,3;-1025262,5
103476;RESPONSABILIDAD LIMITADA;GUAYAQUIL;GRANDE;SOCIETARIO;967;323685621;131641100;155864081,7;0
22576;ANÓNIMA;GUAYAQUIL;GRANDE;SOCIETARIO;7243;309114722;158032157;534224055,4;22783766,3
3135;ANÓNIMA;GUAYAQUIL;GRANDE;SOCIETARIO;3112;306668973;230673469;284859327,2;43384705,4
44313;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;3428;297845069,3;55252632,62;726292812;16352917,5
128168;ANÓNIMA;GUAYAQUIL;GRANDE;SOCIETARIO;306;279438059;46061167,1;904318714;20464394
707891;ANÓNIMA;GUAYAQUIL;PEQUEÑA;SOCIETARIO;69;273886357;135546705;0;-6399374,1
70689;ANÓNIMA;ELOY ALFARO;GRANDE;SOCIETARIO;555;269276252;113563421;340413177,5;33092140,9
2041;ANÓNIMA;GUAYAQUIL;GRANDE;MERCADO DE VALORES;2915;268956994,3;120584368,5;111497510,2;-384365,57
