EXPEDIENTE;TIPO;RAMA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
97954;ANÓNIMA;K;GUAYAQUIL;MEDIANA;SOCIETARIO;2;15113056,3;15113056,3;0;2292396,27
24805;ANÓNIMA;A;GUAYAQUIL;GRANDE;SOCIETARIO;171;9146242,81;4572127,54;13543626,82;1639907,22
41295;ANÓNIMA;C;GUAYAQUIL;MEDIANA;SOCIETARIO;7;10020542,8;9273958,5;135999,6;1409428,22
103998;ANÓNIMA;G;GUAYAQUIL;GRANDE;SOCIETARIO;145;16498974,5;11084842;54939460,87;1180874,92
101942;ANÓNIMA;C;GUAYAQUIL;GRANDE;SOCIETARIO;121;11124121;3706091,12;19114632,84;714474,04
19573;ANÓNIMA;A;GUAYAQUIL;GRANDE;SOCIETARIO;113;11135050,1;3542477,04;9187478,56;666423,73
102764;ANÓNIMA;L;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;6676422,63;2433779,19;953262,24;494647,7
69452;ANÓNIMA;K;GUAYAQUIL;MEDIANA;MERCADO DE VALORES;13;1619036,42;1052346,97;1489065,77;467978,39
107274;ANÓNIMA;G;GUAYAQUIL;MEDIANA;SOCIETARIO;40;1616155,08;1184721,13;2580843,6;433962,65
56416;ANÓNIMA;H;GUAYAQUIL;MEDIANA;SOCIETARIO;10;1180489,91;442836,98;2060069,84;416540,38
176785;RESPONSABILIDAD LIMITADA;C;GUAYAQUIL;MEDIANA;SOCIETARIO;29;660596,78;374293,7;1286049,65;358559,76
72283;ANÓNIMA;N;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;2564867,76;2146370,68;0;348336,39
111860;ANÓNIMA;C;GUAYAQUIL;MEDIANA;SOCIETARIO;9;527315,81;362830,95;1162769,26;298878,26
19196;ANÓNIMA;F;ELOY ALFARO (DURAN);GRANDE;SOCIETARIO;78;10972526,6;7298842,01;10365394,2;285957,45
134199;ANÓNIMA;G;SAN JACINTO DE YAGUACHI;GRANDE;SOCIETARIO;45;5253879,73;1517421,13;8854068,33;225228,4
