EXPEDIENTE;TIPO COMPAÑIA;CIUDAD;TAMAÑO;SECTOR;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
717437;ANÓNIMA;MILAGRO                                           ;MICROEMPRESA   ;SOCIETARIO;467662.71;800.00;0.00;0.00
180953;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;377430.82;36062.66;368752.22;5454.27
716371;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;364074.51;25094.84;642047.34;24294.84
114593;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;351098.48;126664.36;0.00;-10724.03
75326;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;343573.15;343573.15;0.00;0.00
64750;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;325846.27;800.00;0.00;0.00
109800;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;318234.17;35237.57;161682.86;9652.02
149581;ANÓNIMA;GUAYAQUIL                                         ;MEDIANA        ;SOCIETARIO;213198.59;108899.53;1347729.45;33030.42
75702;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;211464.05;794.00;0.00;0.00
718620;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;209000.00;9000.00;0.00;0.00
26649;RESPONSABILIDAD LIMITADA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;193935.80;3709.00;0.00;0.00
713767;ANÓNIMA;GUAYAQUIL                                         ;PEQUEÑA        ;SOCIETARIO;193896.81;-403669.76;916274.14;-412669.76
11327;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;190285.66;190285.66;0.00;0.00
717901;ANÓNIMA;SAMBORONDÓN                                       ;PEQUEÑA        ;SOCIETARIO;180424.71;5110.07;455797.33;3906.41
132918;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;179895.72;179895.72;0.00;0.00
42668;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;166616.72;165780.79;90450.61;39163.36
178165;ANÓNIMA;VELASCO IBARRA                                    ;PEQUEÑA        ;SOCIETARIO;160000.00;160000.00;722889.52;6959.50
712016;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;152719.04;60218.72;0.00;-11194.42
127658;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;142672.46;94706.17;15.00;7.69
182734;ANÓNIMA;GUAYAQUIL                                         ;MICROEMPRESA   ;SOCIETARIO;138377.61;-97037.19;0.00;-2345.00
