AÑO;EXPEDIENTE;FIRMA;BIG4;PATRIMONIO;CAPITAL_SOCIAL;EBIT;PRECIO_ACCION;NO_ACCIONES;PAT_ACCIONES;EBIT_ACCIONES
2008;384;DELOITTE;Sí;395010576,4;240000000;144552251,2;5,48;240000000;1,645877401;0,602301047
2008;583;HANSEN HOLM & CO. CIA. LTDA.;No;34380668,73;24510000;2712855,1;0,7;24510000;1,402720062;0,110683603
2008;2234;HANSEN HOLM & CO. CIA. LTDA.;No;86342692,73;75000000;16089041,33;0,9;75000000;1,151235903;0,214520551
2008;2308;DELOITTE;Sí;199309431,8;102405104,5;116226586,9;49;20481020,9;9,731420754;5,674843429
2008;2448;PWC PRICE WATER HOUSE COOPERS;Sí;71240888,92;20490472;97595602,54;30;20490472;3,476781253;4,762974837
2008;4312;ERNST & YOUNG;Sí;37454950,6;21000000;13287647,05;1,25;21000000;1,783569076;0,632745098
2008;31897;CONSULTORES MORAN CEDILLO CIA. LTDA;No;556943,63;1000000;62325,51;10,04;1000000;0,55694363;0,06232551
2008;99523;HANSEN HOLM & CO. CIA. LTDA.;No;62374053,54;44000000;12567097,08;0,9;44000000;1,417592126;0,285615843
2008;105736;DELOITTE;Sí;448375,35;80000;891,19;25;80000;5,604691875;0,011139875
2008;109025;DELOITTE;Sí;644602,1;90000;9416,52;24;90000;7,162245556;0,104628
2008;112126;DELOITTE;Sí;578513,2;90000;3821,37;21;90000;6,427924444;0,042459667
2008;115840;DELOITTE;Sí;568329,89;90000;7448,23;16;90000;6,314776556;0,082758111
2008;118604;DELOITTE;Sí;621555,09;100000;6104,36;14;100000;6,2155509;0,0610436
2008;123003;DELOITTE;Sí;595032,52;100000;1449,07;13,5;100000;5,9503252;0,0144907
2008;126262;DELOITTE;Sí;745863,86;125000;3144;12;125000;5,96691088;0,025152
2009;384;DELOITTE;Sí;468263312,9;240000000;160229440,8;4,89;240000000;1,951097137;0,66762267
2009;407;DELOITTE;Sí;29760676,71;17882575;7402144,24;1;17882575;1,664227703;0,413930558
2009;677;DELOITTE;Sí;48702894,72;29800000;13645705,11;2,4;29800000;1,634325326;0,457909567
2009;2234;HANSEN HOLM & CO. CIA. LTDA.;No;91675523,15;80000000;16262878,08;0,85;80000000;1,145944039;0,203285976
2009;2308;DELOITTE;Sí;226951071,4;102405104,5;151262752,2;40,5;20481020,9;11,08104291;7,385508415
2009;2448;PWC PRICE WATER HOUSE COOPERS;Sí;77881428,92;20490472;123756974,6;30;20490472;3,80086066;6,039732742
2009;7069;ALTAMIRANO HIDALGO MARIO ROBERTO;No;266485,61;89020,32;193,77;0,45;89020,32;2,993536869;0,002176694
2009;99523;KPMG;Sí;61446462,42;44429069,63;834714,88;0,95;44429069,63;1,383023838;0,018787584
2009;105736;DELOITTE;Sí;448945,75;80000;807,42;25;80000;5,611821875;0,01009275
