EXPMUESTRA;BIG4;ACTIVOS;UTILIDAD;VTAS;PAT;RAMA
5;1;13024869,54;259354,7;20527559,95;4300090,24;Z
5;1;14131135,9;19782,11;12875286,9;3696220,8;Z
9;1;14334751,5;0;14245302,2;3648377,19;Z
15;0;87257335,4;951287,74;9175930,01;817220,52;G
25;1;12204911,5;491769,04;13571308,5;6286844,32;A
26;1;14619433,7;802983,33;14571014,7;6349932,33;A
30;1;14411875,1;521818,72;18234481,6;6631351,91;A
36;1;14619433,7;802983,33;14571014,7;6349932,33;A
38;1;14619433,7;802983,33;14571014,7;6349932,33;C
41;1;14725223,75;489965,58;13266233,93;4916269,96;H
45;0;2344640,93;74700,04;785761,61;1428021,39;G
46;0;2375412,86;132684,71;758532,07;1548618,39;C
47;1;14725223,75;489965,58;13266233,93;4916269,96;G
55;0;2375412,86;132684,71;758532,07;1548618,39;G
57;1;14725223,75;489965,58;13266233,93;4916269,96;G
61;0;1436800,55;0;24,16;1024766,19;G
66;1;53145721,1;4397836,04;60772346,1;25641854,8;Z
69;1;18728463,2;215688,61;14936912,6;6175195,45;C
76;1;14707378,6;429537,47;18131553,4;5880652,72;I
77;1;15386019,6;326539,26;16213045,1;5977077,31;M
78;0;3086656,28;105017,97;2814504,17;1107217,81;G
81;1;2191594,19;395574,14;13558068,03;778912,27;G
81;0;3006480,62;0;2084613,71;1559605,44;G
84;1;50748475,1;3018030,84;70843221,5;26327944,7;G
85;1;73315617,6;7522758,74;191474543,8;39382529,26;G
87;1;100611626;10049708,1;179806332;57462883,1;G
93;1;85320204,6;8439230,45;205221095,1;47728414,8;L
97;0;4716773,73;974994,45;6468306,5;3280644,79;F
99;0;4992207,96;801900,6;6302467,94;3150446,38;G
104;1;100611626;10049708,1;179806332;57462883,1;G
109;1;31107122,9;1343042,91;33550601,1;8456656,57;G
114;0;3696788,9;299618,36;4406966,61;2706113,75;B
115;1;22150221,53;1174771,46;45937638,39;8107947,62;G
117;0;3157513,15;257614,23;4795913,58;2345616,45;G
117;0;3199766,03;264761,28;4401690,48;2483338,16;G
119;0;3199766,03;264761,28;4401690,48;2483338,16;Z
121;1;22150221,53;1174771,46;45937638,39;8107947,62;G
128;0;3482258,62;273832,62;4074323,74;2576516,96;G
130;1;22150221,53;1174771,46;45937638,39;8107947,62;G
137;0;3199766,03;264761,28;4401690,48;2483338,16;L
140;1;95065924,7;0;46702287,6;79015600,7;C
143;1;99546380,7;11546010,6;55307698,8;81762775,7;C
148;1;101055978;9238597,5;59475426,8;84260865,6;C
152;1;95065924,7;0;46702287,6;79015600,7;Q
157;0;5307671,74;0;4564748,8;1342881,18;Q
168;1;60050958;7481244,77;121264186;29783518,4;G
169;1;56452383,66;6979046,65;166522373,5;30126867,81;G
178;1;65598409,7;8232689,65;157099554;31370916,8;F
179;0;32088706;358260,65;6102174,05;8132996,61;G
180;1;56452383,66;6979046,65;166522373,5;30126867,81;G
181;0;3287158,79;585201,03;5193350,18;1234488,09;C
186;1;65598409,7;8232689,65;157099554;31370916,8;G
188;1;65598409,7;8232689,65;157099554;31370916,8;G
189;0;4717121,31;48477,5;2661045,34;682101,94;C
190;1;56452383,66;6979046,65;166522373,5;30126867,81;G
191;0;2473915,62;0;2756280,23;91467,26;G
191;0;2472692,3;0;2786636,64;198190,01;G
195;1;140945939,2;24705567,21;238760856,8;102668333,5;G
195;1;213173530;40544158,1;267613466;168342798;G
198;1;167376206;42541146,2;273030988;123351134;L
200;1;140945939,2;24705567,21;238760856,8;102668333,5;J
205;0;1527467,56;2138,66;164840,58;1423038,68;G
206;0;1568692,93;5947,67;79884,99;1422130,36;G
208;1;140945939,2;24705567,21;238760856,8;102668333,5;A
212;1;140945939,2;24705567,21;238760856,8;102668333,5;A
